YYMM,TRANS_COUNT,SPEND_AMOUNT
1901,2479506.58,48804671.12
1902,5056051.66,97306203.26
1903,7651457.5200000005,151318248.3
1904,10329758.059999999,203600488.76000002
1905,12942099.510000002,253793984.51000002
1906,15053065.08,293737630.6
1907,16739694.19,325169598.9
1908,18684625.26,365067077.9
1909,21044308.300000004,416969489
1910,23473138.740000002,471376503.9
1911,25841489.66,526048993.1
1912,28092063.700000003,583091322.6400001
2001,2202632.88,56103286.78999999
2002,4354967.119999999,111320152.48999998
2003,6785097.170000001,175125214.45999998
2004,10387381.399999999,274578136.96000004
2005,14546059.71,396373272.27000004
2006,18550761.740000002,510432019.19000006
2007,22838713.18,633268434.7
2008,27709117.360000003,761228822.7
2009,32377058.5,887910090.6400001
2010,37327119.620000005,1024039245
2011,42134607.129999995,1157885554.5900002
2012,46811146.879999995,1293289621
2101,4970844.330000001,145408114.67000002
2102,9481034.310000002,276927918.6100001
2103,14926641.61,433041507.9
2104,20286169.57,585723827.0699999
2105,25757320.12,744783678.8
2106,31219499.160000004,900895159.6299999
2107,36982500.79000001,1065669878.3900001
2108,42944580.72,1235577461
2109,48737275.68,1399439970.8400002
2110,55160992.91,1577037236
2111,61229433.43,1743266425.1100001
2112,67376387.74,1920028036.1000001
2201,6459790.720000001,186130025.4
2202,12391869.469999997,355355409.9
2203,19016159.65,544247080.5
2204,25344416.04,728459566.6500001
2205,31748601.71,918417857.7700002
2206,37691115.75,1094293406
2207,43928431.17,1278064774
2208,50091418.45,1457516665
2209,56110858.43,1634031136
2210,62441998.16,1819767709
2211,68020563.51,1993831989
2212,73431898.31,2176695151
2301,5491094.38,184395905.24999997
2302,10704251.1,359317344.53000003
2303,16705912.879999999,558138630.3
2304,22494701.61,751152287
2305,28338882.32,945965117.5700002
2306,33993495.61,1135519140
2307,39751772.19,1330247192
2308,45481638.75,1520824354.8899999
2309,51330424.39,1715984373
2310,57450098.02,1918369782
2311,63051679.26,2106356398
2312,68860505.1,2306064033
2401,5863415.380000001,198370038.60999998
2402,11653639.730000002,396590801.5
2403,18009731.07,614897076.5
2404,24332549.8,824882607.3500001
2405,30885703.43,1043473277.3500001
2406,37254199.59,1258804581
2407,43716474.910000004,1477564623.9500003
2408,50600801.5,1716218164
2409,57364786.93,1953637986.6000001
2410,64234511.84,2194295324
2411,70915855.53,2431528582
2412,77749463.26,2679260080.6800003
2501,6867152.62,247111046.22000006
2502,13428170.760000002,481626049.66999996
2503,20845330.5,748535313.8
2504,27923016.61,1000924936.9100001
2505,35330687.96,1271259330
2506,42320311.09,1528688642
2507,49429822.06,1786913613.4600003
2508,56776315.92,2054196752
